U(V) 365nm,I (10^-12 A) 365nm,U(V) 405nm,I (10^-12 A) 405nm,U(V) 436nm,I (10^-12 A) 436nm,U(V) 546nm,I (10^-12 A) 546nm,U(V) 577nm,I (10^-13 A) 577nm
0.0,390,0.0,165,0.0,122,0.0,-11,0.0,-3
-0.1,327,-0.1,133,-0.1,83,-0.1,-14,-0.1,-5
-0.2,275,-0.2,101,-0.2,49,-0.2,-16,-0.2,-6
-0.3,234,-0.3,76,-0.3,23,-0.3,-16,-0.3,-8
-0.4,184,-0.4,51,-0.4,0,-0.4,-16,-0.4,-9
-0.5,141,-0.5,29,-0.5,-16,-0.5,-16,-0.5,-9
-0.6,99,-0.6,11,-0.6,-26,-0.6,-16,-0.6,-10
-0.7,66,-0.7,-3,-0.7,-31,-0.7,-16,-0.7,-11
-0.8,32,-0.8,-13,-0.8,-33,-0.8,-16,-0.8,-11
-0.9,6,-0.9,-20,-0.9,-34,-0.9,-16,-0.9,-11
-1.0,-11,-1.0,-24,-1.0,-35,-1.0,-16,-1.0,-12
-1.1,-31,-1.1,-27,-1.1,-35,-1.1,-16,-1.1,-13
-1.2,-42,-1.2,-28,-1.2,-35,-1.2,-16,-1.2,-13
-1.3,-46,-1.3,-29,-1.3,-35,-1.3,-16,-1.3,-14
-1.4,-49,-1.4,-29,-1.4,-35,-1.4,-16,-1.4,-14
-1.5,-51,-1.5,-29,-1.5,-36,-1.5,-16,-1.5,-15
-1.6,-52,-1.6,-30,-1.6,-36,-1.6,-16,-1.6,-15
-1.7,-53,-1.7,-30,-1.7,-36,-1.7,-17,-1.7,-15
-1.8,-54,-1.8,-30,-1.8,-36,-1.8,-17,-1.8,-15
-1.9,-54,-1.9,-30,-1.9,-36,-1.9,-17,-1.9,-16
-2.0,-54,-2.0,-30,-2.0,-36,-2.0,-17,-2.0,-16